region,date,author,link,title,tags,summary,segment,research_type
Global,2020-03-01,Jolene Tan-Davidovic,https://docs.google.com/presentation/d/1t3lJIbTBwUVwvAUO3bDWqephg1K3kN5MpgL8gHc0sVI/edit?usp=sharing,Acquire Segment Stakeholder Survey,"exploratory, survey, assumptions, internal",Understand the assumptions that stakeholders in Acquire have about the users,Product > Acquire,User Research
US,2019-06-01,Kai Hsing,https://docs.google.com/presentation/d/1LT8geju9CAs4DXWeDHVUqZrfR1muWCQzutF10SxkL6s/edit?usp=sharing,Analysis of premium and other features most desired by potential US target customers,"US Premium, account funding, Perks, money movement, overdraft, travel, budgeting, ATMs, mobile check deposit, survey, evaluative, markets","While initial user research highlighted some overall opportunities for N26 in the U.S., more definition is needed around what a successful premium banking product for the U.S. should provide. We found that fully fledged banking features are important and may be necessary for consideration of premium debit card products. More specifically, banking features like bill pay and in-app check deposit may be considered table stakes and not premium features. Also, frictionless banking without fees has the highest level of interest, with simplified discounts (free or one-off), purchase or travel protection and recurring rebates to subscriptions as possible priorities to follow.",Product > Markets,User Research
US,2019-10-01,Kai Hsing,https://docs.google.com/presentation/d/114RsovbHkX31e7DWFNp4-cIsPHFw2UvKWGhFbPRR3NU/edit?usp=sharing,Analysis of user experience and satisfaction at 28 days or after with US beta users,"user satisfaction, new features, gap analysis, NPS, startegic, evaluative, survey","With this analysis we aim to understand what’s working and not working with current N26 experience; evaluate possible future features for further exploration; and initiate engagement and community building for user research. The key themes in the new feature evaluation were that more innovative and interesting Perks could be key driver of growth and retention; paying bills online and with paper checks may be key for adopting N26 as primary bank, Spaces could be part of feature; and account funding issues may be obscuring potential high value of Spaces and budgeting features.",Product > US,User Research
US,2020-03-01,Kai Hsing,https://docs.google.com/presentation/d/12hsSbyIT25wkKe7nHyhutwCXTlqp_vYYvCvbf9KpFcw/edit?usp=sharing,Analysis of user experience and satisfaction with US users 28 days or after completing signup,"user satisfaction, new features, gap analysis, user segments, markets, evaluative, exploratory, survey","Our main objectives are to understand what’s working and not working with current N26 experience, evaluate possible future features for further exploration and discuss edits for the next version of survey. Some of the main key themes found are that PayPal continues to be used as hub for moving money between multiple accounts. Just over half of respondents say they intend to use N26 as a primary account, with a high rate of unbanked. Many customers who have never had a bank account assumed that N26 is a prepaid card product and expected to be able to deposit cash. The majority of primary debit users tend to rely on mental accounting rather than apps or spreadsheets to help them track spending. Overdraft protection 2nd to Perks as most desirable feature, budgeting features ranked near bottom.",Product > US,User Research
Global,2019-10-01,Tim Brewster,https://docs.google.com/presentation/d/1v7KZ7uW7Dg2fYQBmdTSidMSMEAVaaemVb9jBgd2v79w/edit?usp=sharing,App Information Architecture Benchmarking,"usability testing, remote, unmoderated, information architecture, IA, V4, 4.x menu, actions, card settings, my account, benchmarking, EU, US",Information Architecture Benchmarking: Evaluate how well people navigate and find information in the current (as at August 2019) N26 app on both iOS & Android.,Product > Engagement,User Research
EU,2019-11-01,"Alexander Hipp, Josh Morales",https://number26-jira.atlassian.net/wiki/spaces/ProdTech/pages/1600488083,BCN: Feed Forward (former User Feedback Coffee),"exploratory, interviews, quick feedback, inclusive, speed-dating, recurrent research, EU",BCN: Feed Forward (former User Feedback Coffee),Product,User Research
EU,2020-09-01,Maria Hock,https://docs.google.com/presentation/d/1KaAiELokisSbtFPV20n_DbiLr5tYFBikUNc2wnm_RM8/edit#slide=id.g6bbe322f9a_0_2,Benefits as a Story - concept: Showcasing membership benefits as a story,"benefits, entry point, infocard, story",Benefits as a Story - concept: Showcasing membership benefits as a story (like Instagram format) during upgrade flow. How can we better showcase membership benefits? - a concept.,Product > Subscriptions,User Research
BR,2019-08-01,Shruti Ramiah,https://docs.google.com/presentation/d/1TseM-UcXpZ7eZyGvkPSvf2De-7i_mh668WQyRK8grFE/edit?usp=sharing,Brazil financial behaviours,"Brazil, product vision, MVP, discovery, user mindsets, non-users, user segments, In-depth in-home interviews, strategic, markets",Key research findings to understand customer expectations and our current product-market fit. Basic financial behaviours of Brazilians. User mindsets. Market expectations. Key pain points. Unmet needs,Product > Markets,User Research
EU,2018-05-01,Martina Transtroem,https://docs.google.com/presentation/d/1WBzFnkxpoqf-iCOI42DATNRLTKyOK3oi5i8viDK8fZk/edit#slide=id.g39ce7baca2_0_0,Concept testing for contextual cards and prompts in the feed/timeline - Round 2,"generative, usability testing, Timeline, feed, V4, contextual prompts",Concept testing for contextual cards and prompts in the feed/timeline - Round 2,Product > Engagement,User Research
EU,2018-06-01,Martina Transtroem,https://docs.google.com/presentation/d/1GctRO9kCyytC5QWRfgbujiQWRvJY8L8fKTK8Z5tOrBI/edit,Concept testing for contextual cards and prompts in the feed/timeline - Round 3,"generative, usability testing, Timeline, feed, V4, contextual prompts",Concept testing for contextual cards and prompts in the feed/timeline - Round 3,Product > Engagement,User Research
EU,2018-07-01,Martina Transtroem,https://docs.google.com/presentation/d/1bgEpudkcNVTTnxk9aBobFqOKfoBj951Onf7VXJlM5u8/edit#slide=id.g39ce7baca2_0_0,Concept testing for contextual cards and prompts in the feed/timeline - Round 4,"generative, usability testing, Timeline, feed, V4, contextual prompts",Concept testing for contextual cards and prompts in the feed/timeline - Round 4,Product > Engagement,User Research
